"Data","Dependencia Origem","Histórico","Data do Balancete","Número do documento","Valor",
"31/12/2024","","Saldo Anterior","","0","0.00",
"02/01/2025","5899-8","Compra com Cartão - 01/01 14:53 AUTO POSTO LUCKY","","153589","-164.48",
"02/01/2025","","Pagamento de Boleto - INSTITUTO DE EDUCACAO SAO JOSE","","10201","-2124.15",
"02/01/2025","","BB Rende Fácil - Rende Facil","","9903","2288.63",
"03/01/2025","5899-8","Compra com Cartão - 03/01 15:43 M REIS VARAIS E UTIL","","156615","-35.00",
"03/01/2025","5899-8","Compra com Cartão - 03/01 16:59 SODEXO","","261178","-42.00",
"03/01/2025","5899-8","Compra com Cartão - 03/01 17:20 SODEXO","","362448","-13.00",
"03/01/2025","","BB Rende Fácil - Rende Facil","","9903","90.00",
"06/01/2025","5899-8","Compra com Cartão - 04/01 15:12 MINUTO PA 5082 BEST","","154720","-136.84",
"06/01/2025","5899-8","Compra com Cartão - 05/01 12:53 MINUTO PA 5082 BEST","","246388","-49.72",
"06/01/2025","5899-8","Compra com Cartão - 05/01 13:19 EMPORIO SANTA GULA","","347943","-24.00",
"06/01/2025","5899-8","Compra com Cartão - 05/01 17:32 MIO 003 GELATERIA LT","","663168","-51.00",
"06/01/2025","","Pagamento Pedágio - SEM PARAR","","11806","-287.03",
"06/01/2025","","BB Rende Fácil - Rende Facil","","9903","548.59",
"07/01/2025","5899-8","Compra com Cartão - 07/01 20:34 SODEXO","","174059","-18.00",
"07/01/2025","","Pagamento de Impostos - PREF. SAO JOSE DOS CAMPOS","","10701","-1514.94",
"07/01/2025","","Pix - Enviado - 07/01 17:00 Pagarme Pagamentos Sa","","10702","-83.88",
"07/01/2025","","Pix - Enviado - 07/01 21:54 Raia Drogasil S A","","10703","-273.13",
"07/01/2025","","Pagto cartão crédito - OUROCARD FACIL VISA","","155519978","-6114.94",
"07/01/2025","","BB Rende Fácil - Rende Facil","","9903","8004.89",
"08/01/2025","5899-8","Compra com Cartão - 08/01 17:27 CASA DE BOLOS URBANO","","162878","-24.00",
"08/01/2025","5899-8","Compra com Cartão - 08/01 17:45 APA VALE COMERCIO DE","","263907","-123.00",
"08/01/2025","5899-8","Compra com Cartão - 08/01 18:16 Beramar","","365790","-34.50",
"08/01/2025","","Pagamento de Boleto - BRADESCO SAUDE S A","","10801","-4567.34",
"08/01/2025","","BB Rende Fácil - Rende Facil","","9903","4748.84",
"09/01/2025","5899-8","Compra com Cartão - 09/01 16:40 MAIS1 CAFE SP/SAO JO","","160023","-30.30",
"09/01/2025","5899-8","Compra com Cartão - 09/01 16:43 MAIS1 CAFE SP/SAO JO","","260184","-15.90",
"09/01/2025","5899-8","Compra com Cartão - 09/01 18:10 SUPERMERCADO MAXI","","365411","-492.38",
"09/01/2025","","Pagamento Fatura de Gás - COMGAS","","44561","-39.72",
"09/01/2025","","BB Rende Fácil - Rende Facil","","9903","578.30",
"10/01/2025","5899-8","Compra com Cartão - 10/01 09:20 MINUTO PA-5082","","133625","-127.50",
"10/01/2025","5899-8","Compra com Cartão - 10/01 16:49 CHICA PET","","160571","-170.00",
"10/01/2025","5899-8","Compra com Cartão - 10/01 23:04 SODEXO","","283073","-37.00",
"10/01/2025","","Pix Periódico - 10/01 Heitor Luis Polidoro     004/020","","11001","-4000.00",
"10/01/2025","","Pix - Enviado - 10/01 09:13 Pedro Jonatas Borges","","11002","-30.00",
"10/01/2025","","Pix - Enviado - 10/01 21:04 Wagner Donizetti Da Silva","","11003","-80.00",
"10/01/2025","","Pagamento de Boleto - BANCO BRADESCARD S A","","11004","-166.80",
"10/01/2025","","Pix - Enviado - 10/01 21:19 Edp S Paulo Distr De En S","","11005","-256.33",
"10/01/2025","","BB Rende Fácil - Rende Facil","","9903","4867.63",
"13/01/2025","5899-8","Compra com Cartão - 12/01 11:57 CINEMARK COLINAS","","143052","-136.00",
"13/01/2025","5899-8","Compra com Cartão - 12/01 14:48 SOBRANCELHAS","","153307","-230.00",
"13/01/2025","5899-8","Compra com Cartão - 12/01 21:28 SODEXO","","177331","-15.00",
"13/01/2025","5899-8","Compra com Cartão - 12/01 14:18 N S A FOODS COMERCIO","","251480","-16.00",
"13/01/2025","5899-8","Compra com Cartão - 12/01 15:42 NATURA PAY*NA - COLI","","256563","-225.77",
"13/01/2025","5899-8","Compra com Cartão - 12/01 14:20 AL BADAH COLINAS","","351603","-21.00",
"13/01/2025","5899-8","Compra com Cartão - 12/01 14:23 N S A FOODS COMERCIO","","651811","-17.00",
